0
Cobro
Monto
Pagos
SAC
TratoDeProblema
Resolucion
ConversacionesMiscelaneas
DatosPersonales
DNI
ImagIns
Tarjeta
Agradecimiento
Operador
Predispos
Cred
Segmentos
Move
MKT
Publicidad
Indebido
ProdServicios
Cuentas
Prefer
SolicitudCliente
Baja
Denuncia
Fraude
CallCenter
InterfOnline
RegLeyes
AccionesLlegales
RoboExtrav
Estafa
Alta
PedidoAsistencia
PromocionesYBeneficios
Puntos
Sucursales
LlamadoUsuario
ResumenTarjetas
EnvioRec
Automatizacion
Reintegro
HomeBanking
Usabilidad
Infraest
EstablecerComunic
ConcrecLlamada
Cuenta
Modalidad
eResumen
Visualizacion
Eminent
cajadeahorro
endolares
Atencion
SatisfUsuario
Amenaza
BajaServicio
Velocidad
enpesos
ProductoNoSolicitado
NroReclamo
LenguajeInapropiado
Telefono
Vencimiento
Campania
EnExterior
PublicidadesTerceros
Comercios
TiempoEspera
Operaciones
Transferencia
Cajeros
Funcionamiento
Valoracion
Detractor
Inseguridad
RoboDeDatos
Escraches
Seguro
Activacion
Prestamo
Promotor
debito
Pendiente
ConversacionTematica
Credito
Cuotas
App
AccionLudica
Demora
Emoticones
Canje
Supervisor
Deposito
Mail
Actores
AsociacionPolitica
AutomTelef
Deuda
Reincidencia
ClavesYUsuario
SitioWeb
Capacidad
Competencia
SinSistema
PromocionesLargoPlazo
VamosLosJueves
LlamCortadaPorOperador
Dolar
Servicios
DebitoAuto
ReiteracionPedido
Promociones
Chatbot
OficialesDeCuenta
Inversion
ComerciosProdAdheridos
Inclasificable
Limites
Beneficios
Exitosa
Fisica
Interes
Telemarketing
FormasDePago
DatosDeCliente
Direccion
Tramites
CalComunic
CaidaHomebanking
Spam
RepresentacionPersonajes
fondofima
Confirmacion
LavadoYCorrupcion
Extension
Horarios
InstigacionBaja
Discriminacion
Realizado
PIN
Caja
Imprimir
NoExitosa
